turn,city,resource,price,demand,supply,traded,imported,exported,stock,satisfaction,city_money
1,Capitalist,Food,1.9718,87.7128,88.9653,9.4753,47.5000,79.4900,0.0000,0.7558,1603.4169
1,Capitalist,Wood,1.0648,175.4256,164.7507,51.6828,123.7428,0.0000,84.8009,1.0000,1603.4169
1,Capitalist,Tools,10.6745,17.5444,16.4358,2.8391,14.7053,0.0000,11.5572,1.0000,1603.4169
1,Farmland,Food,1.8000,41.9496,80.1679,30.1679,0.0000,50.0000,0.0000,0.8330,993.6625
1,Farmland,Wood,1.1000,102.9672,59.4899,59.4899,0.0000,0.0000,0.0000,0.6919,993.6625
1,Farmland,Tools,11.0000,10.2978,6.4104,6.4104,0.0000,0.0000,0.0000,0.7245,993.6625
1,Forresty,Food,2.2000,51.4836,29.3003,2.9727,48.5109,0.0000,13.1638,1.0000,916.1272
1,Forresty,Wood,0.9000,83.8992,173.6741,43.4185,0.0000,130.2556,0.0000,0.7131,916.1272
1,Forresty,Tools,11.0000,10.2978,5.9206,5.9206,0.0000,0.0000,0.0000,0.6898,916.1272
1,Craftovo,Food,2.2000,51.4836,30.9600,24.4790,27.0046,0.0000,3.2405,1.0000,986.7934
1,Craftovo,Wood,1.1000,102.9672,60.0663,60.0663,0.0000,0.0000,0.0000,0.6960,986.7934
1,Craftovo,Tools,9.0000,8.3908,16.5112,1.0319,0.0000,15.4792,0.0000,0.4785,986.7934
2,Capitalist,Food,2.0065,88.3368,86.8108,36.8108,47.5000,50.0000,0.1357,0.9730,1938.2788
2,Capitalist,Wood,0.9583,170.0044,249.2690,95.9265,0.0000,153.3425,0.0000,0.6748,1938.2788
2,Capitalist,Tools,9.6071,16.9811,29.9594,8.9522,8.0289,20.1474,0.5227,0.9776,1938.2788
2,Farmland,Food,1.6200,44.2188,81.1974,31.1974,0.0000,50.0000,0.7736,0.8476,851.3746
2,Farmland,Wood,1.2100,98.1754,60.1607,0.0000,98.1754,0.0000,43.7894,0.9660,851.3746
2,Farmland,Tools,12.1000,9.8186,5.9536,0.0000,9.8186,0.0000,4.9097,0.9660,851.3746
2,Forresty,Food,2.3192,49.0877,46.5641,1.5877,47.5000,0.0000,22.0445,0.9660,703.0124
2,Forresty,Wood,0.8100,88.4375,165.6010,88.4375,0.0000,0.0000,63.5971,1.0000,703.0124
2,Forresty,Tools,12.1000,9.8186,5.9076,0.4971,9.3215,0.0000,4.4481,0.9660,703.0124
2,Craftovo,Food,2.4200,49.0877,33.2987,33.2987,0.0000,0.0000,0.0000,0.7297,1007.3342
2,Craftovo,Wood,1.2100,98.1754,67.7009,50.6754,47.5000,0.0000,11.4381,0.9660,1007.3342
2,Craftovo,Tools,8.1000,8.8447,16.9029,8.4514,0.0000,8.4514,0.3146,1.0000,1007.3342
3,Capitalist,Food,2.1134,87.5705,83.1413,12.0193,75.5512,41.5706,14.7447,0.9989,1765.0091
3,Capitalist,Wood,1.0541,179.2003,160.6246,27.6581,151.5422,0.0000,103.7868,1.0000,1765.0091
3,Capitalist,Tools,9.9626,17.8996,17.2608,8.6304,8.0079,8.6304,0.1313,0.9640,1765.0091
3,Farmland,Food,1.4580,46.6107,85.1056,5.5780,0.0000,79.5276,1.5890,0.4845,902.8092
3,Farmland,Wood,1.0890,93.6065,104.1599,93.6065,0.0000,0.0000,5.3148,0.9337,902.8092
3,Farmland,Tools,10.8900,9.3616,11.4781,1.1628,8.1989,0.0000,8.4733,0.9337,902.8092
3,Forresty,Food,2.0873,47.8092,55.5792,47.8092,0.0000,0.0000,3.2045,0.9479,832.9231
3,Forresty,Wood,0.7290,89.8176,219.0363,59.5181,0.0000,159.5181,4.7670,0.8513,832.9231
3,Forresty,Tools,10.8900,9.3616,10.6299,9.3616,0.0000,0.0000,0.7833,0.9337,832.9231
3,Craftovo,Food,2.6620,46.8033,30.4205,7.3112,39.4921,0.0000,10.6879,0.9337,999.2587
3,Craftovo,Wood,1.3310,93.6065,79.5854,79.5854,0.0000,0.0000,0.0000,0.8097,999.2587
3,Craftovo,Tools,7.2900,9.2716,16.6909,8.2615,0.0000,8.4294,0.5403,0.9945,999.2587
4,Capitalist,Food,1.9021,85.3271,99.5205,37.8271,47.5000,46.9739,6.8411,0.9810,1760.7267
4,Capitalist,Wood,0.9487,168.0298,283.4791,120.5298,47.5000,93.9477,50.2627,0.9819,1760.7267
4,Capitalist,Tools,10.3234,17.5773,16.9630,2.7558,14.8215,0.0000,12.1162,1.0000,1760.7267
4,Farmland,Food,1.3122,49.1320,76.5810,26.5810,0.0000,50.0000,2.4485,0.7822,993.1570
4,Farmland,Wood,1.1979,98.6700,64.2154,64.2154,0.0000,0.0000,0.0000,0.7141,993.1570
4,Farmland,Tools,9.8010,9.8680,14.9231,9.8680,0.0000,0.0000,4.1615,0.9695,993.1570
4,Forresty,Food,2.2960,50.3954,32.2936,32.2936,0.0000,0.0000,0.0000,0.7223,877.9878
4,Forresty,Wood,0.6561,98.2639,160.9771,98.2639,0.0000,50.0000,27.6540,1.0000,877.9878
4,Forresty,Tools,11.9790,9.8680,7.3351,7.3351,0.0000,0.0000,0.0000,0.7788,877.9878
4,Craftovo,Food,2.7786,44.6252,42.7523,0.0000,44.6252,0.0000,20.1061,0.9028,868.1284
4,Craftovo,Wood,1.4641,89.2503,62.0769,0.0000,89.2503,0.0000,42.7474,0.9028,868.1284
4,Craftovo,Tools,6.5610,9.8274,16.0364,0.4349,0.0000,15.6015,0.8326,0.4362,868.1284
5,Capitalist,Food,1.9587,89.9427,87.3439,21.7036,68.2391,50.0000,9.4199,1.0000,2017.2654
5,Capitalist,Wood,0.8539,180.1031,227.4114,78.3818,0.0000,149.0296,1.5253,0.6144,2017.2654
5,Capitalist,Tools,9.2911,17.2395,28.5080,13.4466,3.7929,9.9040,4.2815,0.9890,2017.2654
5,Farmland,Food,1.1810,51.7896,74.1478,2.3171,0.0000,71.8307,3.3546,0.4382,977.6474
5,Farmland,Wood,1.3177,94.0781,68.1343,0.0000,94.0781,0.0000,48.6316,0.9370,977.6474
5,Farmland,Tools,9.9480,10.4018,10.2481,10.2481,0.0000,0.0000,0.0327,0.9965,977.6474
5,Forresty,Food,2.5256,48.0501,32.2017,0.5501,47.5000,0.0000,15.1899,0.9513,656.0763
5,Forresty,Wood,0.5905,92.8057,160.2097,92.8057,0.0000,0.0000,75.3767,1.0000,656.0763
5,Forresty,Tools,13.1769,9.4088,6.8441,0.0000,9.4088,0.0000,5.5376,0.9370,656.0763
5,Craftovo,Food,2.5008,43.6787,51.4442,43.6787,0.0000,0.0000,2.4374,0.8894,849.0108
5,Craftovo,Wood,1.3177,85.0969,106.8678,37.5969,47.5000,0.0000,46.9892,0.8734,849.0108
5,Craftovo,Tools,5.9049,10.3590,16.6164,10.3590,0.0000,3.9925,4.7388,1.0000,849.0108
6,Capitalist,Food,1.7628,87.5188,99.9374,49.5448,37.9740,48.4646,1.6247,1.0000,2039.4308
6,Capitalist,Wood,0.9020,189.8454,179.7081,51.2274,138.6180,36.2630,84.6802,1.0000,2039.4308
6,Capitalist,Tools,8.3620,18.2014,21.2708,5.1513,13.0502,15.6491,1.2012,1.0000,2039.4308
6,Farmland,Food,1.0629,54.5911,79.9452,39.9726,0.0000,39.9726,4.3096,0.9720,960.7387
6,Farmland,Wood,1.1859,89.7000,110.8538,89.7000,0.0000,0.0000,12.1800,0.9060,960.7387
6,Farmland,Tools,10.9428,10.3247,6.0816,0.7987,9.5260,0.0000,4.5218,1.0000,960.7387
6,Forresty,Food,2.4153,45.8140,47.9066,45.8140,0.0000,0.0000,0.0000,0.9195,701.0568
6,Forresty,Wood,0.5314,94.4221,217.7507,71.8371,0.0000,145.9137,14.9522,1.0000,701.0568
6,Forresty,Tools,11.8592,8.9709,12.2474,3.6303,5.3406,0.0000,6.9068,0.9060,701.0568
6,Craftovo,Food,2.7508,46.0414,34.3719,0.0000,46.0414,0.0000,16.1781,0.9229,798.7736
6,Craftovo,Wood,1.1859,89.7000,117.8396,55.2501,34.4498,0.0000,43.2568,0.9060,798.7736
6,Craftovo,Tools,5.3144,9.2464,18.3160,4.5790,0.0000,13.7370,1.4654,0.8484,798.7736
7,Capitalist,Food,1.9391,92.9677,79.5359,21.7663,71.2014,39.7679,13.1010,1.0000,2273.6233
7,Capitalist,Wood,0.8118,173.8924,253.0999,103.5714,0.0000,149.5285,3.0266,0.7575,2273.6233
7,Capitalist,Tools,8.4446,18.6275,18.4451,1.1528,9.9739,17.2923,0.6067,0.7672,2273.6233
7,Farmland,Food,0.9566,57.5440,79.9454,4.9966,0.0000,74.9488,5.3163,0.4762,862.1807
7,Farmland,Wood,1.3045,94.5521,73.7844,0.0000,94.5521,0.0000,53.0007,0.9404,862.1807
7,Farmland,Tools,10.2785,9.8213,10.4561,1.0599,8.7614,0.0000,7.8439,0.9679,862.1807
7,Forresty,Food,2.6569,46.8486,31.8149,9.0690,37.7795,0.0000,10.5146,0.9343,555.7980
7,Forresty,Wood,0.4783,113.0646,165.6721,113.0646,0.0000,0.0000,78.7961,1.0000,555.7980
7,Forresty,Tools,10.6733,9.4562,13.0531,1.7899,7.6663,0.0000,9.3087,0.9404,555.7980
7,Craftovo,Food,2.4900,43.8988,48.4976,43.8988,0.0000,0.0000,0.8948,0.8925,808.3980
7,Craftovo,Wood,1.0673,94.5521,109.1541,47.0521,47.5000,0.0000,44.2390,0.9404,808.3980
7,Craftovo,Tools,4.7830,11.5100,16.1466,5.6478,0.0000,10.4988,1.8077,0.8056,808.3980
8,Capitalist,Food,1.7452,86.2226,99.8405,15.0604,47.5000,84.7801,0.2973,0.8228,2192.5790
8,Capitalist,Wood,0.8930,194.6985,172.6762,48.7098,145.9887,0.0000,113.7141,1.0000,2192.5790
8,Capitalist,Tools,9.0356,19.0918,17.8433,8.1216,10.9702,0.0000,10.1506,1.0000,2192.5790
8,Farmland,Food,0.8609,60.6567,77.0451,27.0451,0.0000,50.0000,6.3774,0.7887,945.0758
8,Farmland,Wood,1.1741,90.1519,124.5095,90.1519,0.0000,0.0000,22.2084,0.9092,945.0758
8,Farmland,Tools,9.2507,10.1573,14.2328,10.1573,0.0000,0.0000,3.4199,0.9900,945.0758
8,Forresty,Food,2.7473,44.6684,43.1978,0.6571,44.0113,0.0000,20.0083,0.9034,521.9310
8,Forresty,Wood,0.4305,97.9218,207.3446,53.6723,0.0000,153.6723,19.1323,0.9516,521.9310
8,Forresty,Tools,9.6060,9.9677,15.1441,9.9677,0.0000,0.0000,4.2960,0.9766,521.9310
8,Craftovo,Food,2.7390,46.1409,32.6328,9.6111,36.5298,0.0000,10.5215,0.9243,840.4142
8,Craftovo,Wood,1.0357,99.6666,102.7102,99.6666,0.0000,0.0000,1.3659,0.9766,840.4142
8,Craftovo,Tools,4.3047,12.1326,15.3968,3.8492,0.0000,11.5476,2.1686,0.6782,840.4142
9,Capitalist,Food,1.9197,93.8989,83.4994,30.7963,63.1026,46.3091,7.6348,1.0000,2300.0045
9,Capitalist,Wood,0.8037,171.1831,258.3907,123.6831,47.5000,100.0299,36.9974,1.0000,2300.0045
9,Capitalist,Tools,8.1320,17.1417,27.0442,2.0831,15.0585,11.2703,12.7501,1.0000,2300.0045
9,Farmland,Food,0.7769,63.9378,70.8520,4.4283,0.0000,66.4238,7.4960,0.4682,814.7532
9,Farmland,Wood,1.2915,95.0284,85.2258,0.0000,95.0284,0.0000,61.7141,0.9437,814.7532
9,Farmland,Tools,10.1757,10.7068,9.2783,0.0000,10.7068,0.0000,8.3629,1.0000,814.7532
9,Forresty,Food,2.4726,43.9269,55.3682,43.9269,0.0000,0.0000,4.3212,0.8929,560.1070
9,Forresty,Wood,0.3874,127.8756,145.8978,95.8978,0.0000,50.0000,31.4869,1.0000,560.1070
9,Forresty,Tools,10.1470,10.5069,9.9467,9.9467,0.0000,0.0000,0.0658,0.9751,560.1070
9,Craftovo,Food,2.6078,43.9936,46.2070,0.0000,43.9936,0.0000,21.7165,0.8938,825.1353
9,Craftovo,Wood,1.1393,101.1770,61.2737,61.2737,0.0000,0.0000,0.0000,0.6998,825.1353
9,Craftovo,Tools,3.8742,12.7889,16.9078,1.0567,0.0000,15.8511,2.5489,0.4803,825.1353
10,Capitalist,Food,1.8886,86.4360,87.8592,12.5282,58.7227,75.3310,0.3948,0.8938,2599.1312
10,Capitalist,Wood,0.7734,188.0202,195.3940,83.2338,11.6408,112.1602,6.6045,0.7104,2599.1312
10,Capitalist,Tools,7.3188,18.6797,28.8518,6.4062,12.2735,19.8064,4.5739,1.0000,2599.1312
10,Farmland,Food,0.7402,67.3062,70.6439,8.8305,0.0000,61.8134,8.6443,0.5306,811.0418
10,Farmland,Wood,1.1623,90.6060,126.1290,76.8660,13.7400,0.0000,33.5135,0.9124,811.0418
10,Farmland,Tools,9.1582,9.8609,13.9174,1.2678,8.5931,0.0000,10.7241,0.9937,811.0418
10,Forresty,Food,2.7198,46.3031,35.8262,1.5709,35.8592,0.0000,16.1683,0.8008,383.7171
10,Forresty,Wood,0.3487,125.7938,165.3367,125.7938,0.0000,12.2535,84.6623,1.0000,383.7171
10,Forresty,Tools,11.1617,10.2229,6.7670,0.0000,10.2229,0.0000,5.7284,0.9947,383.7171
10,Craftovo,Food,2.3470,45.0867,53.1938,9.3814,35.7053,0.0000,20.7216,0.9093,706.1100
10,Craftovo,Wood,1.2532,96.4685,68.1049,3.6563,92.8121,0.0000,46.5312,0.9539,706.1100
10,Craftovo,Tools,3.4868,13.4807,15.1526,2.2331,0.0000,12.9195,2.9498,0.5637,706.1100
11,Capitalist,Food,1.9617,90.2631,86.8998,23.2577,67.0054,0.0000,33.6506,1.0000,2540.2625
11,Capitalist,Wood,0.8507,199.4795,171.2795,64.0797,135.3998,63.3538,58.7686,1.0000,2540.2625
11,Capitalist,Tools,7.0641,18.8834,19.5643,8.2494,10.6341,9.7822,4.9169,1.0000,2540.2625
11,Farmland,Food,0.6784,68.9548,75.2341,4.7021,0.0000,70.5320,9.2063,0.4721,883.3678
11,Farmland,Wood,1.1438,95.5071,97.0550,79.2763,16.2308,0.0000,11.2618,0.9471,883.3678
11,Farmland,Tools,8.2423,10.7607,17.1196,10.7607,0.0000,0.0000,5.9442,1.0000,883.3678
11,Forresty,Food,2.4478,35.7480,49.0581,34.6243,0.0000,0.0000,5.8585,0.7610,359.8077
11,Forresty,Wood,0.3138,103.9139,185.0521,42.5261,0.0000,142.5261,29.7536,0.9773,359.8077
11,Forresty,Tools,10.0455,8.2617,12.0819,0.4541,9.2931,0.0000,9.7103,0.9610,359.8077
11,Craftovo,Food,2.1123,42.9087,55.3582,47.5256,0.0000,0.0000,3.1833,0.9439,716.5620
11,Craftovo,Wood,1.1279,81.6810,115.5683,25.7582,43.9553,0.0000,64.3053,0.7643,716.5620
11,Craftovo,Tools,3.3197,14.2099,14.9250,3.7312,0.0000,11.1937,3.3724,0.6698,716.5620
12,Capitalist,Food,1.7655,87.2904,112.6543,36.3340,50.9564,0.0000,38.7719,1.0000,2535.6498
12,Capitalist,Wood,0.7656,172.1558,200.0805,55.9644,116.1914,95.9490,52.0198,1.0000,2535.6498
12,Capitalist,Tools,6.6758,18.3554,19.4230,6.8101,11.5453,9.2311,6.9355,1.0000,2535.6498
12,Farmland,Food,0.6833,72.0261,71.5177,17.8794,0.0000,53.6383,10.2533,0.6588,881.7344
12,Farmland,Wood,1.0294,65.9957,76.5112,48.7780,47.5000,0.0000,18.9418,0.9526,881.7344
12,Farmland,Tools,7.4181,8.0866,11.2498,7.6091,0.0000,0.0000,3.8183,0.8044,881.7344
12,Forresty,Food,2.2031,25.0992,40.6763,22.6121,0.0000,0.0000,8.1159,0.5908,351.3363
12,Forresty,Wood,0.2882,149.7697,163.0757,40.7689,0.0000,122.3067,33.6838,0.6943,351.3363
12,Forresty,Tools,9.0410,5.6426,16.2955,1.5049,8.7695,0.0000,12.5647,0.9983,351.3363
12,Craftovo,Food,1.9011,28.1291,33.7985,33.7985,0.0000,0.0000,0.0000,0.7420,731.2795
12,Craftovo,Wood,1.0151,54.0732,128.8182,23.7002,43.6516,0.0000,77.1683,0.7476,731.2795
12,Craftovo,Tools,2.9878,14.5630,16.2039,4.0510,0.0000,12.1529,3.5771,0.6925,731.2795
13,Capitalist,Food,1.5890,92.9299,126.7850,40.1292,52.8007,0.0000,47.3765,1.0000,2533.1197
